Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 17.12.2021 / Stand: 01.01.2022

Monatswerte Niederschlagssumme / Millimeter / Normwerte 1991-2020

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Wangen b. Olten	435	2633280 / 1242760	01.1991-12.2020	72.4	63.1	64.7	69.1	97.5	96.1	102.3	103.6	77.4	75.7	76.4	93.3	991.6
Wasen im Emmental	770	2627850 / 1210550	01.1991-12.2020	81.7	84.9	87.8	109.6	157.2	150.2	155.2	157.4	112.8	106.1	100.4	104.9	1408.2
Weesen	425	2724983 / 1221382	01.1991-12.2020	108.1	102.8	123.0	110.8	156.8	180.6	194.5	193.8	143.4	113.2	114.2	122.7	1663.9
Weinfelden	477	2726403 / 1269982	01.1991-12.2020	59.1	56.5	63.0	69.7	107.5	104.1	108.7	112.2	83.8	74.6	69.5	79.2	987.9
Weissfluhjoch	2691	2780615 / 1189634	01.1991-12.2020	107.8	80.2	95.8	79.3	116.2	165.5	181.0	197.5	122.7	97.3	92.1	103.4	1438.8
Weisstannen	1010	2744900 / 1205819	01.1991-12.2020	96.1	82.4	106.7	93.3	125.2	153.3	161.8	182.4	125.5	102.2	101.2	107.6	1437.7
Wil, ZH	406	2680341 / 1273224	01.1991-12.2020	83.3	72.1	72.0	73.6	104.1	95.2	96.6	91.1	71.5	82.1	83.4	99.2	1024.2
Wilchingen	413	2676253 / 1280055	01.1991-12.2020	80.5	65.1	66.7	62.7	91.7	85.3	91.8	84.9	63.5	74.9	74.9	95.5	937.5
Wildhaus	998	2746129 / 1229567	01.1991-12.2020	103.0	84.5	120.8	97.7	167.8	175.7	204.4	202.6	146.5	119.7	104.3	120.6	1647.6
Wimmis	648	2617298 / 1168863	01.1991-12.2020	84.6	81.3	85.5	98.6	151.5	153.2	175.1	157.4	104.1	92.2	94.5	103.5	1381.5
Winterthur / Seen	506	2699845 / 1259053	01.1991-12.2020	77.0	70.9	77.4	83.9	120.8	115.5	125.0	120.0	87.6	87.9	85.3	98.8	1150.1
Wittnau	463	2639941 / 1258983	01.1991-12.2020	79.6	71.2	77.0	80.0	109.2	99.8	110.5	106.9	80.4	86.5	90.3	102.7	1094.1
Witzwil	433	2570636 / 1205385	01.1991-12.2020	68.6	57.6	62.3	66.5	86.5	93.0	90.5	105.1	80.3	91.1	81.6	94.9	978.0
Wynau	421	2626405 / 1233849	01.1991-12.2020	82.7	66.8	73.7	75.6	110.5	103.4	117.0	115.0	89.5	89.6	82.4	100.7	1106.9
Wädenswil	485	2693847 / 1230744	01.1991-12.2020	79.7	77.5	88.7	93.7	139.5	149.2	155.4	163.3	115.5	99.4	95.0	105.0	1361.9
Würenlingen / PSI	334	2659356 / 1265380	01.1991-12.2020	85.3	74.5	78.1	71.8	98.9	91.9	99.1	86.7	70.7	83.3	87.4	103.3	1031.0
Yverdon-les-Bains	432	2539851 / 1181493	01.1991-12.2020	68.7	56.5	60.4	64.0	86.7	85.3	85.6	86.9	78.7	88.5	79.2	89.3	929.8
Zermatt	1638	2624297 / 1097574	01.1991-12.2020	42.2	29.7	33.3	39.9	77.4	69.9	58.9	68.4	51.2	57.0	65.2	47.3	640.4
Zernez	1465	2802572 / 1175429	01.1991-12.2020	50.8	34.3	35.3	36.7	58.4	84.9	86.5	105.0	65.5	62.1	70.3	51.9	741.7
Zervreila	1738	2728780 / 1159992	01.1991-12.2020	78.4	58.7	73.0	93.0	119.0	143.8	140.9	172.0	129.2	121.0	116.4	85.1	1330.5
Zofingen	432	2638189 / 1236711	01.1991-12.2020	89.9	78.5	80.4	80.7	117.9	112.7	126.6	119.5	91.6	94.0	92.4	113.7	1197.9
Zugerberg	880	2683303 / 1223008	01.1991-12.2020	54.8	54.4	66.0	90.4	148.4	177.1	168.8	178.1	119.5	92.0	77.2	78.6	1305.3
Zweisimmen	1015	2595869 / 1155480	01.1991-12.2020	88.8	75.2	79.1	80.7	125.0	127.7	154.0	139.4	90.3	80.9	83.0	107.7	1231.8
Zwillikon	461	2675138 / 1238164	01.1991-12.2020	57.7	53.9	62.1	79.6	132.0	129.4	138.1	131.2	88.5	81.5	70.7	75.4	1100.1
Zürich / Affoltern	443	2681433 / 1253547	01.1991-12.2020	63.1	55.2	65.4	73.1	114.8	112.4	115.6	108.8	79.2	80.0	74.2	80.2	1022.0
Zürich / Fluntern	555	2685117 / 1248065	01.1991-12.2020	63.0	60.3	71.2	80.4	128.2	127.6	126.0	119.1	87.4	85.2	76.1	83.4	1107.9
Zürich / Kloten	426	2682711 / 1259338	01.1991-12.2020	65.3	55.5	64.8	70.0	109.9	102.0	116.0	108.2	80.2	82.5	74.5	80.3	1009.2

