xtf_id,DamName,DamHeight,CrestLevel,CrestLength,DamType,ConstructionYear,facilityR2,x,y
130676855,Bremgarten-Zufikon,19.000,381.300,135.000,dt1,1975,130675984,2668560.857,1244019.901
130676856,Brigels,19.000,1258.200,120.000,dt7,1960,130675987,2724910.676,1181429.567
130676857,Buchholz,16.000,613.850,43.000,dt5,1892,130675990,2734410.705,1251649.709
130676858,Burvagn,20.150,1119.150,71.000,dt5,1949,130675993,2764340.88,1165779.63
130676859,Carassina,38.600,1708.600,115.000,dt8,1963,130675996,2717230.615,1156169.558
130676860,Carmena,39.000,639.000,99.000,dt8,1968,130675999,2725780.493,1114129.079
130676861,Cavagnoli,111.000,2311.000,317.000,dt8,1968,130676002,2682120.245,1145299.522
130685171,Chancy-Pougny,18.000,348.500,78.000,dt1,1924,130683704,2487028.22,1113185.121
130676862,Chapfensee Nord,20.000,1031.500,124.000,dt5,1948,130676005,2747710.682,1212629.724
130676863,Chapfensee Ost,12.000,1031.500,141.000,dt5,1948,130676005,2748020.676,1212459.728
130676864,Châtelard CFF,33.000,1117.500,125.000,dt7,1975,130676008,2562949.17,1101300.351
130676865,Châtelard ESA,11.000,1123.000,230.000,dt5,1972,130676011,2562189.206,1100220.42
130676866,Châtelot,74.000,719.000,150.000,dt8,1953,130676014,2547329.681,1216900.639
130676867,Cleuson,87.000,2187.000,420.000,dt5,1950,130676017,2590949.365,1106760.016
130676921,Contra,220.000,473.450,380.000,dt8,1965,130676161,2708850.213,1117109.192
130676869,Corina,11.000,1191.700,450.000,dt7,1959,130676020,2736060.721,1143479.48
130677012,Crestawalddamm (Sufers),10.000,1404.000,244.000,dt7,1962,130676416,2748820.749,1159279.575
130676870,Croix,15.000,919.500,100.000,dt7,1955,130676023,2599814.525,1127990.028
130676871,Curnera,153.000,1957.700,350.000,dt8,1966,130676026,2697570.403,1165689.627
130676872,Darbola,23.200,1153.700,146.900,dt5,1958,130676029,2737820.66,1131539.212
130677051,Drachtenloch,14.700,475.700,77.000,dt7,2005,130676527,2661710.816,1243189.997
130676835,Eggen,10.000,1597.500,250.000,dt7,1958,130676593,2646639.602,1117359.64
131895801,Eglisau,20.000,343.990,114.000,dt1,1920,131895798,2677801.096,1269899.964
130676873,Egschi,45.000,1152.200,80.000,dt5,1949,130676032,2745370.761,1177529.604
130676875,Emosson,180.000,1931.500,554.000,dt8,1974,130676038,2560799.261,1101900.387
130676832,Engeweiher,7.000,545.750,580.000,dt7,1909,130676551,2687731.152,1284129.679
130676836,Fah,13.000,1761.000,50.000,dt5,1981,130676596,2650809.515,1108839.466
130676877,Ferden,67.000,1314.000,126.100,dt8,1975,130676044,2624459.763,1137109.88
130676878,Ferpècle,28.400,1895.800,91.000,dt8,1963,130676047,2608619.33,1100749.732
130676879,Fionnay FMM,13.000,1493.500,250.000,dt7,1956,130676050,2589999.356,1098000.03
130676880,Fionnay GD,22.880,1486.880,40.000,dt7,1957,130676053,2589469.351,1098110.032
131994572,Flumenthal,18.000,427.350,47.000,dt1,1970,131994569,2611458.377,1230923.328
130676838,Formigario B18,34.200,1064.690,28.180,dt8,1870,130676536,2704610.313,1149609.619
130676882,Fully,11.050,2135.710,109.600,dt6,1914,130676059,2573439.413,1113820.367
130676829,Garichte Hauptmauer,42.000,1624.750,230.000,dt5,1931,130676062,2726220.617,1202049.713
130676883,Garichte Nebenmauer,18.000,1624.750,254.000,dt5,1931,130676062,2726550.613,1201939.719
130676884,Gebidem,122.000,1439.000,327.000,dt8,1967,130676065,2643389.819,1135689.732
130676885,Gelmer,35.000,1850.740,370.000,dt5,1929,130676068,2667640.337,1162669.72
130676886,Giétroz-du-Fond,13.900,1816.500,22.400,dt5,1965,130676071,2556999.466,1109860.388
130676887,Gigerwald,137.000,1337.000,430.000,dt8,1976,130676074,2748740.67,1197579.718
130676888,Godey,35.000,1401.000,170.000,dt7,1974,130676077,2584429.523,1126400.226
130676889,Göscheneralp,155.000,1797.000,540.000,dt3,1960,130676080,2681110.446,1166579.687
130676890,Göschenerreuss,35.000,1085.000,53.000,dt5,1948,130676083,2688130.432,1169129.615
132025105,Gösgen,18.000,390.240,98.000,dt1,1917,132025101,2636521.571,1246104.199
