abbr,time,rre150m0
BAS,189711,10.6
BAS,189712,36.4
BAS,189801,14.8
BAS,189802,78.7
BAS,189803,39.0
BAS,189804,72.9
BAS,189805,89.1
BAS,189806,96.8
BAS,189807,41.5
BAS,189808,48.1
BAS,189809,14.0
BAS,189810,103.9
BAS,189811,86.1
BAS,189812,29.9
BAS,189901,60.3
BAS,189902,11.9
BAS,189903,26.9
BAS,189904,154.3
BAS,189905,46.1
BAS,189906,59.5
BAS,189907,89.6
BAS,189908,27.9
BAS,189909,70.8
BAS,189910,53.5
BAS,189911,13.3
BAS,189912,85.8
BAS,190001,102.3
BAS,190002,72.5
BAS,190003,30.5
BAS,190004,26.1
BAS,190005,52.7
BAS,190006,57.0
BAS,190007,138.5
BAS,190008,135.1
BAS,190009,62.1
BAS,190010,47.5
BAS,190011,58.5
BAS,190012,30.2
BAS,190101,41.4
BAS,190102,34.6
BAS,190103,58.6
BAS,190104,126.5
BAS,190105,23.5
BAS,190106,149.2
BAS,190107,69.6
BAS,190108,96.5
BAS,190109,121.1
BAS,190110,54.4
BAS,190111,34.1
BAS,190112,56.9
BAS,190201,25.6
BAS,190202,75.5
BAS,190203,50.9
BAS,190204,48.3
BAS,190205,64.1
BAS,190206,36.8
BAS,190207,155.6
BAS,190208,92.0
BAS,190209,52.2
BAS,190210,84.8
BAS,190211,33.8
BAS,190212,76.3
BAS,190301,41.1
BAS,190302,18.9
BAS,190303,30.6
BAS,190304,50.8
BAS,190305,60.2
BAS,190306,98.2
BAS,190307,69.1
BAS,190308,70.7
BAS,190309,43.3
BAS,190310,74.2
BAS,190311,52.0
BAS,190312,41.3
BAS,190401,30.6
BAS,190402,133.5
BAS,190403,39.7
BAS,190404,58.9
BAS,190405,77.0
BAS,190406,43.3
BAS,190407,8.5
BAS,190408,51.1
BAS,190409,91.6
BAS,190410,30.8
BAS,190411,16.8
BAS,190412,20.8
BAS,190501,36.2
BAS,190502,21.4
BAS,190503,60.2
BAS,190504,94.3
BAS,190505,93.2
BAS,190506,89.6
BAS,190507,43.2
BAS,190508,178.4
BAS,190509,147.7
BAS,190510,69.2
BAS,190511,72.9
BAS,190512,33.9
BAS,190601,36.4
BAS,190602,55.4
BAS,190603,43.9
BAS,190604,48.5
BAS,190605,99.1
BAS,190606,43.5
BAS,190607,79.5
BAS,190608,25.5
BAS,190609,21.9
BAS,190610,49.0
BAS,190611,108.4
BAS,190612,49.7
BAS,190701,36.7
BAS,190702,35.2
BAS,190703,43.3
BAS,190704,74.6
BAS,190705,58.9
BAS,190706,74.3
BAS,190707,79.3
BAS,190708,68.6
BAS,190709,46.4
BAS,190710,61.0
BAS,190711,11.3
BAS,190712,93.5
BAS,190801,25.3
BAS,190802,71.9
BAS,190803,31.2
BAS,190804,49.6
BAS,190805,106.6
BAS,190806,62.5
BAS,190807,166.3
BAS,190808,74.8
BAS,190809,112.1
BAS,190810,13.3
BAS,190811,48.5
BAS,190812,33.7
BAS,190901,22.1
BAS,190902,20.2
BAS,190903,42.0
BAS,190904,51.3
BAS,190905,24.6
BAS,190906,172.5
BAS,190907,111.4
BAS,190908,49.3
BAS,190909,80.0
BAS,190910,115.1
BAS,190911,46.1
BAS,190912,68.2
BAS,191001,111.4
BAS,191002,67.5
BAS,191003,11.0
BAS,191004,36.8
BAS,191005,55.7
BAS,191006,190.1
BAS,191007,125.8
BAS,191008,92.8
BAS,191009,53.5
BAS,191010,22.7
BAS,191011,129.7
BAS,191012,67.2
BAS,191101,30.8
BAS,191102,36.2
BAS,191103,41.3
BAS,191104,33.1
BAS,191105,47.5
BAS,191106,108.3
BAS,191107,13.3
BAS,191108,47.7
BAS,191109,71.7
BAS,191110,64.2
BAS,191111,73.9
BAS,191112,55.6
BAS,191201,53.5
BAS,191202,47.0
BAS,191203,77.4
BAS,191204,18.9
BAS,191205,81.9
BAS,191206,108.5
BAS,191207,75.4
BAS,191208,144.9
BAS,191209,42.6
BAS,191210,94.3
BAS,191211,31.9
BAS,191212,32.8
BAS,191301,45.6
BAS,191302,33.8
BAS,191303,62.0
BAS,191304,49.5
BAS,191305,84.1
BAS,191306,74.5
BAS,191307,52.9
BAS,191308,86.5
BAS,191309,75.8
BAS,191310,48.8
BAS,191311,108.5
BAS,191312,54.3
BAS,191401,51.2
BAS,191402,28.5
BAS,191403,83.6
BAS,191404,40.5
BAS,191405,123.9
BAS,191406,110.6
BAS,191407,111.4
BAS,191408,140.6
BAS,191409,78.8
BAS,191410,22.4
BAS,191411,29.7
BAS,191412,84.0
BAS,191501,55.6
BAS,191502,37.8
BAS,191503,78.8
BAS,191504,99.5
BAS,191505,123.1
BAS,191506,76.0
BAS,191507,83.6
BAS,191508,61.1
BAS,191509,72.3
BAS,191510,36.9
BAS,191511,83.9
BAS,191512,68.8
BAS,191601,23.1
BAS,191602,66.8
BAS,191603,38.1
BAS,191604,58.6
BAS,191605,68.5
BAS,191606,135.9
BAS,191607,137.1
BAS,191608,105.3
BAS,191609,75.5
BAS,191610,73.2
BAS,191611,82.5
BAS,191612,92.9
BAS,191701,20.9
BAS,191702,17.0
BAS,191703,77.1
BAS,191704,40.2
BAS,191705,76.4
BAS,191706,134.2
BAS,191707,95.1
BAS,191708,148.6
BAS,191709,83.8
BAS,191710,117.9
BAS,191711,36.2
BAS,191712,13.2
BAS,191801,40.4
BAS,191802,15.7
BAS,191803,32.5
BAS,191804,92.4
BAS,191805,33.3
BAS,191806,66.2
BAS,191807,40.8
BAS,191808,52.1
BAS,191809,134.9
BAS,191810,53.7
BAS,191811,46.6
BAS,191812,69.2
BAS,191901,12.6
BAS,191902,77.3
BAS,191903,103.4
BAS,191904,73.9
BAS,191905,20.8
BAS,191906,53.2
BAS,191907,84.9
BAS,191908,23.5
BAS,191909,54.6
BAS,191910,34.3
BAS,191911,114.5
BAS,191912,75.5
BAS,192001,51.6
BAS,192002,9.4
BAS,192003,64.1
BAS,192004,53.7
BAS,192005,81.7
BAS,192006,61.0
BAS,192007,113.3
BAS,192008,90.1
BAS,192009,116.4
BAS,192010,12.2
BAS,192011,1.8
BAS,192012,39.4
BAS,192101,36.7
BAS,192102,1.5
BAS,192103,18.1
BAS,192104,41.3
BAS,192105,84.6
BAS,192106,48.5
BAS,192107,31.2
BAS,192108,96.2
BAS,192109,62.7
BAS,192110,18.2
BAS,192111,39.3
BAS,192112,20.8
BAS,192201,72.0
BAS,192202,82.6
BAS,192203,81.8
BAS,192204,178.6
BAS,192205,52.5
BAS,192206,106.7
