date,niederschlag_d_mm
2023-07-29,0
2023-07-30,0
2023-07-31,4.1
2023-08-01,1.2
2023-08-02,5.8
2023-08-03,10
2023-08-04,0
2023-08-05,0
2023-08-06,0
2023-08-07,0
2023-08-08,0
2023-08-09,0
2023-08-10,0
2023-08-11,0
2023-08-12,0.2
2023-08-13,0.5
2023-08-14,6.8
2023-08-15,0
2023-08-16,0
2023-08-17,6
2023-08-18,0
2023-08-19,0
2023-08-20,0
2023-08-21,0
2023-08-22,0
2023-08-23,0
2023-08-24,0
2023-08-25,6.5
2023-08-26,41.2
2023-08-27,97.2
2023-08-28,36.7
2023-08-29,0
2023-08-30,0
2023-08-31,0
2023-09-01,0
2023-09-02,0
2023-09-03,0
2023-09-04,0
2023-09-05,0
2023-09-06,0
2023-09-07,0
2023-09-08,0
2023-09-09,0
2023-09-10,0
2023-09-11,0
2023-09-12,11.8
2023-09-13,18.3
2023-09-14,5.3
2023-09-15,1.9
2023-09-16,0.3
2023-09-17,5.3
2023-09-18,44.4
2023-09-19,0
2023-09-20,1.7
2023-09-21,18.2
2023-09-22,49.2
2023-09-23,0
2023-09-24,0
2023-09-25,0
2023-09-26,0
2023-09-27,0
2023-09-28,0
2023-09-29,0
2023-09-30,0
2023-10-01,0
2023-10-02,0
2023-10-03,0
2023-10-04,0
2023-10-05,0
2023-10-06,0
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,0
2023-10-12,0
2023-10-13,0
2023-10-14,0
2023-10-15,0
2023-10-16,0
2023-10-17,0
2023-10-18,0
2023-10-19,39
2023-10-20,97.4
2023-10-21,15
2023-10-22,0.2
2023-10-23,14.5
2023-10-24,17.8
2023-10-25,0.1
2023-10-26,15.1
2023-10-27,0
2023-10-28,0.5
2023-10-29,6.7
2023-10-30,69.8
2023-10-31,5
2023-11-01,8.9
2023-11-02,34.2
2023-11-03,0
2023-11-04,12
2023-11-05,0
2023-11-06,0.6
2023-11-07,3
2023-11-08,0
2023-11-09,5
2023-11-10,0
2023-11-11,0
2023-11-12,0
2023-11-13,0
2023-11-14,0.4
2023-11-15,0
2023-11-16,0.2
2023-11-17,0
2023-11-18,0
2023-11-19,0
2023-11-20,0
2023-11-21,0
2023-11-22,0
2023-11-23,0
2023-11-24,0
2023-11-25,0
2023-11-26,0
2023-11-27,0
2023-11-28,0
2023-11-29,0
2023-11-30,0.7
2023-12-01,55.5
2023-12-02,0.3
2023-12-03,0
2023-12-04,0
2023-12-05,0
2023-12-06,0
2023-12-07,0
2023-12-08,1.7
2023-12-09,3.4
2023-12-10,0.3
2023-12-11,3
2023-12-12,2.6
2023-12-13,0.3
2023-12-14,0
2023-12-15,0
2023-12-16,0
2023-12-17,0
2023-12-18,0
2023-12-19,0
2023-12-20,0
2023-12-21,0
2023-12-22,0.1
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,6.9
2024-01-01,0
2024-01-02,0
2024-01-03,0.2
2024-01-04,0
2024-01-05,35.6
2024-01-06,0
2024-01-07,0
2024-01-08,0
2024-01-09,2.5
2024-01-10,0
2024-01-11,0
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,0
2024-01-17,6.7
2024-01-18,3.8
2024-01-19,0
2024-01-20,0
2024-01-21,0
2024-01-22,0
2024-01-23,0
2024-01-24,0
2024-01-25,0
2024-01-26,0
2024-01-27,0
2024-01-28,0
2024-01-29,0
2024-01-30,0
2024-01-31,0
2024-02-01,0
2024-02-02,0
2024-02-03,0
2024-02-04,0
2024-02-05,0
2024-02-06,0
2024-02-07,0
2024-02-08,3.3
2024-02-09,18.6
2024-02-10,20.6
2024-02-11,1.3
2024-02-12,0
2024-02-13,0
2024-02-14,0
2024-02-15,0
2024-02-16,0
2024-02-17,0
2024-02-18,0
2024-02-19,0
2024-02-20,0
2024-02-21,0
2024-02-22,28.7
2024-02-23,7.9
2024-02-24,25.7
2024-02-25,2.3
2024-02-26,23.5
2024-02-27,10.1
2024-02-28,0
2024-02-29,7.3
2024-03-01,27
2024-03-02,9
2024-03-03,2.1
2024-03-04,0
2024-03-05,13.5
2024-03-06,0
2024-03-07,0
2024-03-08,2.6
2024-03-09,5.1
2024-03-10,40.5
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
